URL_ID,URL
123,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/
321,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/
2345,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/
4321,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/
432,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/
2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/
3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/
3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/
4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/
4741,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/
5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/
5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/
